Thu Jun 16 04:05:56 2022 Epoch 24, lr: 0.0000970, val loss: 95.30658, acc: 66.33000
Thu Jun 16 04:06:07 2022 Epoch 13, lr: 0.0000993, val loss: 116.65628, acc: 58.51000
Thu Jun 16 04:06:10 2022 Epoch 4, lr: 0.0001000, val loss: 138.22521, acc: 50.86000
Thu Jun 16 04:06:22 2022 Epoch 25, lr: 0.0000968, val loss: 97.98406, acc: 65.54000
Thu Jun 16 04:06:35 2022 Epoch 14, lr: 0.0000991, val loss: 112.60076, acc: 59.09000
Thu Jun 16 04:06:38 2022 Epoch 5, lr: 0.0000999, val loss: 133.84621, acc: 52.13000
Thu Jun 16 04:06:42 2022 Epoch 2, lr: 0.0001000, val loss: 152.38080, acc: 45.96000
Thu Jun 16 04:06:50 2022 Epoch 26, lr: 0.0000965, val loss: 94.70435, acc: 66.91000
Thu Jun 16 04:07:03 2022 Epoch 15, lr: 0.0000990, val loss: 109.78942, acc: 60.46000
Thu Jun 16 04:07:05 2022 Epoch 6, lr: 0.0000999, val loss: 132.61335, acc: 51.98000
Thu Jun 16 04:07:16 2022 Epoch 27, lr: 0.0000962, val loss: 93.99455, acc: 66.69000
Thu Jun 16 04:07:30 2022 Epoch 16, lr: 0.0000988, val loss: 109.96346, acc: 60.44000
Thu Jun 16 04:07:31 2022 Epoch 3, lr: 0.0001000, val loss: 142.24395, acc: 49.36000
Thu Jun 16 04:07:33 2022 Epoch 7, lr: 0.0000998, val loss: 125.67292, acc: 54.72000
Thu Jun 16 04:07:44 2022 Epoch 28, lr: 0.0000959, val loss: 92.75278, acc: 67.68000
Thu Jun 16 04:07:58 2022 Epoch 17, lr: 0.0000986, val loss: 107.14585, acc: 61.69000
Thu Jun 16 04:08:01 2022 Epoch 8, lr: 0.0000998, val loss: 123.64633, acc: 55.41000
Thu Jun 16 04:08:10 2022 Epoch 29, lr: 0.0000956, val loss: 93.98028, acc: 67.07000
Thu Jun 16 04:08:21 2022 Epoch 4, lr: 0.0001000, val loss: 138.03500, acc: 50.43000
Thu Jun 16 04:08:26 2022 Epoch 18, lr: 0.0000984, val loss: 105.34313, acc: 61.74000
Thu Jun 16 04:08:29 2022 Epoch 9, lr: 0.0000997, val loss: 121.85761, acc: 56.40000
Thu Jun 16 04:08:38 2022 Epoch 30, lr: 0.0000952, val loss: 89.42830, acc: 69.16000
Thu Jun 16 04:08:53 2022 Epoch 19, lr: 0.0000982, val loss: 104.08417, acc: 62.77000
Thu Jun 16 04:08:58 2022 Epoch 10, lr: 0.0000996, val loss: 119.88233, acc: 57.22000
Thu Jun 16 04:09:04 2022 Epoch 31, lr: 0.0000949, val loss: 89.96453, acc: 68.88000
Thu Jun 16 04:09:10 2022 Epoch 5, lr: 0.0000999, val loss: 134.12629, acc: 52.55000
Thu Jun 16 04:09:21 2022 Epoch 20, lr: 0.0000980, val loss: 102.46740, acc: 63.64000
Thu Jun 16 04:09:26 2022 Epoch 11, lr: 0.0000995, val loss: 116.49098, acc: 58.41000
Thu Jun 16 04:09:31 2022 Epoch 32, lr: 0.0000946, val loss: 90.84758, acc: 68.64000
Thu Jun 16 04:09:48 2022 Epoch 21, lr: 0.0000978, val loss: 105.18569, acc: 62.32000
Thu Jun 16 04:09:53 2022 Epoch 12, lr: 0.0000994, val loss: 117.29523, acc: 57.87000
Thu Jun 16 04:09:58 2022 Epoch 33, lr: 0.0000942, val loss: 90.79634, acc: 68.26000
Thu Jun 16 04:09:58 2022 Epoch 6, lr: 0.0000999, val loss: 132.00122, acc: 51.97000
Thu Jun 16 04:10:16 2022 Epoch 22, lr: 0.0000976, val loss: 99.83815, acc: 64.12000
Thu Jun 16 04:10:21 2022 Epoch 13, lr: 0.0000993, val loss: 113.97838, acc: 59.45000
Thu Jun 16 04:10:25 2022 Epoch 34, lr: 0.0000938, val loss: 86.05309, acc: 70.10000
Thu Jun 16 04:10:44 2022 Epoch 23, lr: 0.0000973, val loss: 99.38263, acc: 64.53000
Thu Jun 16 04:10:49 2022 Epoch 7, lr: 0.0000998, val loss: 128.28514, acc: 54.54000
Thu Jun 16 04:10:49 2022 Epoch 14, lr: 0.0000991, val loss: 113.58733, acc: 59.75000
Thu Jun 16 04:10:52 2022 Epoch 35, lr: 0.0000934, val loss: 85.92611, acc: 70.20000
Thu Jun 16 04:11:11 2022 Epoch 24, lr: 0.0000970, val loss: 100.72998, acc: 64.43000
